pair_index,environment,batch_index,index_in_batch,network_record,target_original_q,target_counterfactual_q,target_delta_q_wrapped,target_delta_l2_rad,ordinary_pred_original_q,ordinary_pred_counterfactual_q,ordinary_pred_delta_q_wrapped,ordinary_pred_delta_l2_rad,ordinary_pred_required_ratio,ordinary_direction_cosine,ordinary_original_scene_error_l2_rad,ordinary_counterfactual_scene_error_l2_rad,ordinary_cf_prediction_to_original_target_l2_rad,ordinary_cf_prediction_closer_to_cf_target,cftrained_pred_original_q,cftrained_pred_counterfactual_q,cftrained_pred_delta_q_wrapped,cftrained_pred_delta_l2_rad,cftrained_pred_required_ratio,cftrained_direction_cosine,cftrained_original_scene_error_l2_rad,cftrained_counterfactual_scene_error_l2_rad,cftrained_cf_prediction_to_original_target_l2_rad,cftrained_cf_prediction_closer_to_cf_target
10,291,1,124,9,-2.99445319176 -0.912740468979 0.13247846067 -0.242172703147 -2.73654079437 0.437864333391 1.00568783283,-3.02305221558 -0.89940726757 0.125799357891 -0.310015320778 -2.78175210953 0.474653512239 0.974259436131,-0.028599023819 0.0133332014084 -0.00667910277843 -0.067842617631 -0.045211315155 0.0367891788483 -0.0314283967018,0.10014070312197522,-3.06855034828 -0.96359282732 0.211294457316 -0.249598249793 -2.74214339256 0.404153883457 1.10595440865,-3.06852412224 -0.963532745838 0.211392208934 -0.24951325357 -2.74213957787 0.404205620289 1.10593962669,2.62260437012e-05 6.00814819336e-05 9.77516174316e-05 8.49962234497e-05 3.81469726562e-06 5.1736831665e-05 -1.47819519043e-05,0.00015487764305681045,0.0015466003156395212,-0.2690443875354822,0.15988940174663285,0.20257872118352863,0.1598821409452289,0,-2.91675925255 -0.840944647789 0.277521789074 -0.196345984936 -2.79121780396 0.444074362516 1.12945127487,-2.90487599373 -0.846470832825 0.286939710379 -0.196113049984 -2.78827190399 0.439066022635 1.13660979271,0.0118832588196 -0.00552618503571 0.0094179213047 0.000232934951782 0.00294589996338 -0.0050083398819 0.00715851783752,0.018587851791218656,0.18561734850790831,-0.5558497252076612,0.22950854618262997,0.28874632715082,0.24127498778646067,0
11,291,1,142,9,-0.285862863064 0.902449071407 0.793448328972 0.425943613052 -0.99925673008 -0.816028773785 2.67410254478,-0.286376863718 0.850907862186 0.83024674654 0.482180267572 -1.04201614857 -0.818050026894 2.64701867104,-0.000514000654221 -0.0515412092209 0.0367984175682 0.05623665452 -0.0427594184875 -0.00202125310898 -0.0270838737488,0.09868857503539744,-0.205364972353 0.858953177929 0.781002819538 0.433503299952 -1.12617325783 -0.835763633251 2.70137619972,-0.205359369516 0.858903586864 0.780986368656 0.433466762304 -1.12615299225 -0.835755288601 2.70132470131,5.60283660889e-06 -4.95910644531e-05 -1.6450881958e-05 -3.65376472473e-05 2.02655792236e-05 8.34465026855e-06 -5.14984130859e-05,8.502182116944483e-05,0.0008615163522114831,0.04819007140895658,0.16070147689713293,0.14754316685450009,0.16069151337913073,1,-0.124582156539 0.9486297369 0.831605792046 0.503931343555 -1.14645421505 -0.847202837467 2.68869900703,-0.110426411033 0.938732862473 0.837605774403 0.504496872425 -1.14398181438 -0.851817131042 2.69145417213,0.0141557455063 -0.0098968744278 0.00599998235703 0.000565528869629 0.00247240066528 -0.00461429357529 0.0027551651001,0.019226239113324373,0.1948172734931915,0.307999733398437,0.24193837396740037,0.2296425629205354,0.2504839161589446,1
12,291,1,147,9,2.81911015511 -0.877784371376 -2.74690556526 0.240908280015 1.62307834625 1.26769113541 1.40891373158,2.81568336487 -0.838882625103 -2.74470067024 0.287433683872 1.6402977705 1.36151540279 1.38890612125,-0.00342679023743 0.038901746273 0.00220489501953 0.0465254038572 0.0172194242477 0.0938242673874 -0.020007610321,0.11486674764052457,2.84811043739 -0.809545814991 -2.8376455307 0.243119463325 1.57151460648 1.17671430111 1.41411709785,2.84810328484 -0.809538900852 -2.83763360977 0.243123993278 1.57152879238 1.17671477795 1.41411757469,-7.15255737305e-06 6.91413879395e-06 1.19209289551e-05 4.52995300293e-06 1.41859054565e-05 4.76837158203e-07 4.76837158203e-07,2.152412773076532e-05,0.0001873834523296948,0.3276145367724178,0.15715860227449172,0.2280965715957775,0.15714855191383673,0,2.92285203934 -0.787575364113 -2.81623864174 0.270760834217 1.61560022831 1.17516958714 1.37339496613,2.92441225052 -0.787896096706 -2.81516718864 0.270732462406 1.61335337162 1.17506527901 1.37256836891,0.00156021118164 -0.000320732593536 0.00107145309448 -2.83718109131e-05 -0.00224685668945 -0.000104308128357 -0.000826597213745,0.0030705786333452244,0.026731658172777718,-0.1381290065261619,0.18567723571565453,0.2354201119481926,0.18631337605253598,0
13,291,1,200,9,-2.991710186 -0.374950528145 -0.0512827895582 -1.16977214813 -0.979912936687 0.624417304993 1.9114831686,-3.01181554794 -0.350177884102 -0.0503572337329 -1.17197835445 -0.915878593922 0.627541065216 1.87884032726,-0.0201053619385 0.024772644043 0.000925555825233 -0.00220620632172 0.0640343427658 0.00312376022339 -0.0326428413391,0.07873590980962246,-2.9672524929 -0.393778175116 -0.104824982584 -1.19840800762 -1.08028149605 0.608084261417 1.9511961937,-2.96724390984 -0.39379248023 -0.104790173471 -1.19829976559 -1.0802731514 0.608069479465 1.95113301277,8.58306884766e-06 -1.43051147461e-05 3.48091125488e-05 0.000108242034912 8.34465026855e-06 -1.47819519043e-05 -6.31809234619e-05,0.00013223572209051336,0.0016794842710302002,0.17451963615861707,0.1286746995623825,0.20043844713281553,0.12861577336241486,0,-3.05152964592 -0.3703302145 -0.130165442824 -1.1543905735 -0.947062551975 0.586850345135 1.92167043686,-3.0286962986 -0.374569654465 -0.121461480856 -1.15038061142 -0.955534398556 0.589439809322 1.93204760551,0.0228333473206 -0.00423943996429 0.00870396196842 0.00400996208191 -0.00847184658051 0.00258946418762 0.0103771686554,0.028589097388396746,0.3631011244745002,-0.6388420567722816,0.11248549057723535,0.1107135839364778,0.09439190848956705,0
14,291,1,208,9,0.383554756641 1.21741819382 1.74060213566 -0.493413090706 -1.60735249519 0.132265195251 1.72418045998,0.401305645704 1.21309041977 1.79953539371 -0.512816429138 -1.58893895149 0.115510605276 1.69593858719,0.0177508890629 -0.00432777404785 0.0589332580566 -0.0194033384323 0.0184135437012 -0.0167545899749 -0.0282418727875,0.07483862902022387,0.297383278608 1.20244657993 1.66783761978 -0.527668595314 -1.6661618948 0.102432325482 1.69940185547,0.297385901213 1.20234024525 1.6677634716 -0.527710020542 -1.6661709547 0.10239084065 1.6992726326,2.62260437012e-06 -0.000106334686279 -7.41481781006e-05 -4.14252281189e-05 -9.05990600586e-06 -4.14848327637e-05 -0.000129222869873,0.00019243068555879726,0.002571274862702203,0.07766495292345428,0.13813150276910052,0.18614124871210277,0.13822682324054975,0,0.301381260157 1.26599812508 1.66487824917 -0.439464747906 -1.61732685566 0.147643953562 1.64261889458,0.315732628107 1.26498913765 1.67218124866 -0.440073430538 -1.61951577663 0.14527592063 1.64946556091,0.0143513679504 -0.00100898742676 0.00730299949646 -0.000608682632446 -0.00218892097473 -0.00236803293228 0.00684666633606,0.017831430362926934,0.23826505905270248,0.38016550527026804,0.15730641101351142,0.18843433543317795,0.14243915708857993,0
15,291,2,66,9,0.259194612503 0.940817534924 1.81830775738 -0.677400708199 -0.92729049921 0.71122020483 -2.23712778091,0.295286029577 0.995540678501 1.87051999569 -0.681390762329 -0.889397263527 0.712817251682 -2.21895074844,0.0360914170742 0.0547231435776 0.0522122383118 -0.00399005413055 0.0378932356834 0.00159704685211 0.0181770324707,0.09385149742851889,0.298893898726 0.939715325832 1.88687872887 -0.727090656757 -1.04290831089 0.701491415501 -2.19085669518,0.298870533705 0.939701735973 1.88686919212 -0.727035999298 -1.04291212559 0.701461851597 -2.19084191322,-2.3365020752e-05 -1.35898590088e-05 -9.53674316406e-06 5.4657459259e-05 -3.81469726562e-06 -2.95639038086e-05 1.47819519043e-05,7.011475031105245e-05,0.0007470818498602507,-0.3382864682879383,0.15604953830467036,0.1731111915979641,0.15603116252616092,0,0.33492025733 1.01587128639 1.85496997833 -0.653009355068 -1.02977073193 0.744741499424 -2.28129029274,0.341480404139 1.01567709446 1.8597484827 -0.651278674603 -1.03313720226 0.73929721117 -2.28035306931,0.00656014680862 -0.000194191932678 0.00477850437164 0.0017306804657 -0.00336647033691 -0.00544428825378 0.000937223434448,0.010523990709197508,0.11213449968886226,0.3538590003190656,0.16395944067443827,0.16939528345713356,0.16921840296607094,0
16,291,2,101,5,1.40787088871 -0.597686648369 -1.33602964878 -1.54127073288 -1.44999849796 0.809496283531 -1.69053339958,1.38167345524 -0.59482473135 -1.37502932549 -1.52658605576 -1.44652223587 0.816452682018 -1.66682362556,-0.0261974334717 0.00286191701889 -0.0389996767044 0.014684677124 0.00347626209259 0.00695639848709 0.0237097740173,0.05526065396655915,1.46444654465 -0.576136887074 -1.33149433136 -1.49547660351 -1.51575005054 0.79942303896 -1.70066285133,1.46443867683 -0.576131403446 -1.33149242401 -1.49547433853 -1.51574885845 0.799421608448 -1.7006623745,-7.86781311035e-06 5.48362731934e-06 1.90734863281e-06 2.26497650146e-06 1.19209289551e-06 -1.43051147461e-06 4.76837158203e-07,1.0219372353624244e-05,0.00018493035496482672,0.3296857793133097,0.1015392099709832,0.1276337213387306,0.10153641955523564,0,1.45349514484 -0.583505630493 -1.33077847958 -1.42808508873 -1.46095323563 0.787695288658 -1.6936814785,1.45238733292 -0.582490921021 -1.33302724361 -1.42813146114 -1.45858967304 0.787157654762 -1.69376635551,-0.0011078119278 0.00101470947266 -0.00224876403809 -4.63724136353e-05 0.00236356258392 -0.000537633895874 -8.48770141602e-05,0.003632995332043084,0.06574289428861232,0.6047463434014602,0.125405099142713,0.13542448011424393,0.12492160665298664,0
17,291,2,164,9,0.0311097409576 1.03167784214 1.05837106705 0.919769346714 2.7565715313 1.36360621452 0.0694458931684,0.0603201687336 1.06802666187 1.06719982624 0.911531865597 2.74047398567 1.38266277313 0.0933065339923,0.029210427776 0.0363488197327 0.00882875919342 -0.00823748111725 -0.0160975456238 0.019056558609 0.0238606408238,0.05926130653739053,0.054058521986 0.984375178814 1.03351640701 0.944383025169 2.70767116547 1.35118067265 0.0120756085962,0.0541007220745 0.984302461147 1.03353571892 0.944373488426 2.70771694183 1.35118925571 0.0119974073023,4.2200088501e-05 -7.2717666626e-05 1.93119049072e-05 -9.53674316406e-06 4.57763671875e-05 8.58306884766e-06 -7.82012939453e-05,0.00012576642194476862,0.002122235051726663,-0.4831177191861924,0.09911995370295831,0.13392179777232427,0.09917888156730666,0,0.112249791622 1.01179635525 1.08791768551 0.994981110096 2.77035164833 1.34915661812 0.0166773982346,0.120480462909 0.996055483818 1.08860814571 1.00403869152 2.77400493622 1.34774816036 0.0170233435929,0.00823067128658 -0.0157408714294 0.000690460205078 0.00905758142471 0.00365328788757 -0.00140845775604 0.000345945358276,0.020334341483734128,0.34313015813960007,-0.39637805165285284,0.12919748401496103,0.1611751234463879,0.14344060425105415,0
18,291,3,0,9,0.171230822802 0.695266485214 -2.25371551514 -0.329881757498 -0.485449314117 -0.797486364841 1.43608152866,0.195298343897 0.583918213844 -2.25187802315 -0.338248163462 -0.459926635027 -0.800207078457 1.42362463474,0.0240675210953 -0.11134827137 0.00183749198914 -0.0083664059639 0.0255226790905 -0.00272071361542 -0.0124568939209,0.11774990391077687,0.233578294516 0.628668248653 -2.18130230904 -0.335127323866 -0.556419312954 -0.851948916912 1.54701685905,0.233564585447 0.628642499447 -2.18128561974 -0.335201233625 -0.556363523006 -0.851882398129 1.54687952995,-1.37090682983e-05 -2.5749206543e-05 1.66893005371e-05 -7.39097595215e-05 5.57899475098e-05 6.65187835693e-05 -0.000137329101562,0.00018162790105815963,0.0015424887411864497,0.2870870910192773,0.18412842954920602,0.18873081196661806,0.18401790828235612,0,0.3525814116 0.709456622601 -2.16075348854 -0.231297791004 -0.493001133204 -0.826700508595 1.49857807159,0.363439232111 0.703771591187 -2.14951300621 -0.231350958347 -0.489855200052 -0.830164194107 1.49404430389,0.0108578205109 -0.00568503141403 0.0112404823303 -5.31673431396e-05 0.00314593315125 -0.00346368551254 -0.0045337677002,0.017860912084509413,0.15168515210036382,0.5047886085528962,0.23720549517261183,0.2670091329702562,0.24905787751729921,0
19,291,3,164,9,-0.313446849585 1.39621818066 2.76845598221 0.770246326923 -0.371737658978 -0.0630996823311 2.10098767281,-0.308259963989 1.4243748188 2.77197790146 0.771682322025 -0.351269811392 -0.0538492947817 2.16286683083,0.00518688559532 0.0281566381454 0.00352191925049 0.00143599510193 0.0204678475857 0.0092503875494 0.06187915802,0.07188670741412145,-0.311958342791 1.37386524677 2.81404685974 0.770055413246 -0.402215391397 -0.0821899622679 2.0442969799,-0.311945110559 1.37382042408 2.81402683258 0.770014941692 -0.402188211679 -0.0821799486876 2.04426765442,1.32322311401e-05 -4.48226928711e-05 -2.00271606445e-05 -4.04715538025e-05 2.71797180176e-05 1.00135803223e-05 -2.93254852295e-05,7.695578285069171e-05,0.001070514781089758,-0.44969735710200215,0.08418788209198334,0.14765261250510858,0.08419693505368227,0,-0.268587440252 1.42179608345 2.8000702858 0.86465638876 -0.3727838099 -0.0493359193206 1.98659873009,-0.253430277109 1.40203809738 2.81170940399 0.867913305759 -0.367186695337 -0.0574291571975 1.98973536491,0.0151571631432 -0.0197579860687 0.0116391181946 0.00325691699982 0.00559711456299 -0.00809323787689 0.00313663482666,0.02954421868200876,0.4109830557659549,-0.09334212357759904,0.1607939224738496,0.21115133271988712,0.1657573521444352,0
